Id_destinasi,num ratings,ave rating,Nama,Kategori
145,198,4.1061,Pulau Peucang,"Alam,Air,Petualangan"
147,188,4.0213,Saba Baduy,"Alam,Petualangan,Sejarah&Budaya"
178,185,4.1189,Saung budaya raden saleh,Pendidikan
8,170,3.8676,Taman Pesisir Pantai Penyu Pangumbahan,"Keluarga,Pendidikan"
45,149,4.2383,Sukasantai Farmstay,"Keluarga,Alam"
69,149,3.7785,Masjid Agung Tasikmalaya,"Keluarga,Religi"
86,143,4.0664,Masjid Agung Ciamis,"Keluarga,Pendidikan,Religi"
294,141,3.961,Sato Land Interactive Zoo,"Keluarga,Pendidikan"
349,132,3.8712,Arung Jeram Cimanuk,"Alam,Air,Petualangan"
354,131,4.1603,Hutan Mati Gunung Papandayan,"Alam,Petualangan"
