Id_destinasi,Nama,Rating,Jam Operasional,Tiket Masuk,Kategori,Kota,Lokasi,Deskripsi
1,Geopark Ciletuh,4.6,24 Jam,Gratis,"Alam,Sejarah&Budaya,Pendidikan",Sukabumi,https://maps.app.goo.gl/Nky7HKeGKkv2P5C49,"Taman bumi dengan konsep manajemen pengelolaan kawasan yang menyerasikan keragaman geologi, hayati, dan budaya, melalui prinsip konservasi, edukasi, dan pembangunan yang berkelanjutan di kawasan Pelabuhan Ratu, Kabupaten Sukabumi, Jawa Barat, Indonesia."
2,Pantai Ujung Genteng,4.6,24 Jam,Rp10.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/tevMUBxeeRHSwNYcA,Pantai berpasir putih yang dikelilingi terumbu karang yang terkenal dengan konservasi penyu & panorama sunset.
3,Curug Awang,4.5,24 Jam,Rp3.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/bhdzBMrQg2Hqd1e8A,Sebuah air terjun yang berasal dari aliran sungai Ciletuh yang memiliki panorama alam yang begitu memukau
4,Curug Cikaso,4.6,06.00-17.00 WIB,Rp5.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/axmUdfVfGs3xw2FE9,"Air terjun ini juga dikenal sebagai Curug Luhur, tetapi nama Curug Cikaso lebih dikenal masyarakat sekitar dikarenakan aliran airnya berasal dari anak Sungai Cikaso yaitu Sungai Cicurug."
5,Curug Sawer,4.6,07.00-16.00 WIB,Rp18.500,"Alam,Air",Sukabumi,https://maps.app.goo.gl/KsPrDp8m7Y4VEf2K9,"Air terjun dengan kolam alami, yang dicapai dengan jembatan gantung & dikelilingi area piknik di hutan hujan."
6,Gua Buni Ayu,4.5,24 Jam,Rp5.000,Petualangan,Sukabumi,https://maps.app.goo.gl/sYp2Kt5poTSgWmUg6,"Daerah tujuan wisata yang terkenal dengan petualangan guanya. Terletak di atas lahan seluas kurang lebih 10 hektar, Buniayu terletak di Desa Kerta Angsana, Sukabumi, Jawa Barat, Indonesia."
7,Cagar Alam Cikananga,4.6,07.00-18.00 WIB,Rp16.000,"Keluarga,Pendidikan",Sukabumi,https://maps.app.goo.gl/DJzK7HXncWm11tuv5,Satu-satunya cagar alam yang ada di kecamatan nyalindung bahkan di sukabumi mungkin yang menjaga hewan- hewan. sering dijadikan wahana edukasi untuk para pelajar dan umum. tempat ini dijadikan penampungan sementara hewan-hewan yang sakit atau dalam penyembuhan yang nantinya jika sudah sembuh di lepas ke tempatnya semula.
8,Taman Pesisir Pantai Penyu Pangumbahan,4.8,09.00-17.30 WIB,Rp10.000,"Keluarga,Pendidikan",Sukabumi,https://maps.app.goo.gl/ssgrDeWhfEvE5tM87,"Obyek wisata sekaligus wisata edukasi, berupa penangkaran penyu."
9,Danau Situ Gunung,4.5,07.00-16.00 WIB,Rp18.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/NEosQowxUTY84qaA6,Danau buatan yang terletak tidak jauh dari area Jembatan Gantung Situgunung dengan harga tiket terjangkau. Pengunjung akan disuguhkan dengan luasnya danau yang di kelilingi pepohonan pinus yang berada di lereng Gunung Gede Pangrango.
10,Curug Cimarinjung,4.6,24 Jam,Rp3.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/xdFAB4x7fsDs4b53A,"Air terjun jatuh dari ketinggian berbatu dengan kolam rendam, paling dramatis di musim hujan."
11,Curug Sodong,4.5,08.00-16.00 WIB,Rp3.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/cwyJfKs7MhQAz9WE6,Air terjun ganda indah yang dikelilingi vegetasi lebat & memiliki beberapa cerita rakyat.
